"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Commodities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788898","1.3.2.25","259","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788899","1.3.2.26","121","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Total tourism commodities","Dollars","81","millions","6","v81612","1.1.1.1","14486","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Transportation","Dollars","81","millions","6","v81613","1.1.1.2","6626","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Passenger air transport","Dollars","81","millions","6","v81614","1.1.1.3","1570","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Passenger rail transport","Dollars","81","millions","6","v81615","1.1.1.4","55","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Interurban bus transport","Dollars","81","millions","6","v81616","1.1.1.5","265","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Vehicle rental","Dollars","81","millions","6","v81617","1.1.1.6","411","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Vehicle repairs and parts","Dollars","81","millions","6","v81618","1.1.1.7","1699","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Vehicle fuel","Dollars","81","millions","6","v81619","1.1.1.8","2358","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Other transportation","Dollars","81","millions","6","v81620","1.1.1.9","268","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Accommodation","Dollars","81","millions","6","v81621","1.1.1.10","1245","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Food and beverage services","Dollars","81","millions","6","v81625","1.1.1.14","4937","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Other tourism commodities","Dollars","81","millions","6","v81631","1.1.1.20","1678","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Recreation and entertainment","Dollars","81","millions","6","v81632","1.1.1.21","1061","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Travel agency services","Dollars","81","millions","6","v81633","1.1.1.22","338","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Pre-trip expenditures","Dollars","81","millions","6","v29788894","1.1.1.25","216","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Unadjusted","Convention fees","Dollars","81","millions","6","v29788895","1.1.1.26","63","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v81589","1.1.2.1","13198","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v81590","1.1.2.2","6158","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v81591","1.1.2.3","1337","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v81592","1.1.2.4","53","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v81593","1.1.2.5","105","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v81594","1.1.2.6","319","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v81595","1.1.2.7","1729","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v81596","1.1.2.8","2382","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v81597","1.1.2.9","233","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v81598","1.1.2.10","951","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v81602","1.1.2.14","4603","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v81608","1.1.2.20","1486","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v81609","1.1.2.21","1002","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v81610","1.1.2.22","291","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788896","1.1.2.25","172","","","","0"
"1986-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788897","1.1.2.26","21","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","27845","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","13024","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v19458047","1.3.2.3","1616","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v19458048","1.3.2.4","121","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v19458049","1.3.2.5","610","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v19458050","1.3.2.6","538","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v19458051","1.3.2.7","3089","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v19458052","1.3.2.8","6427","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v19458053","1.3.2.9","623","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v19458054","1.3.2.10","1771","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v19458055","1.3.2.14","9684","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v19458056","1.3.2.20","3366","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v19458057","1.3.2.21","2385","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v19458058","1.3.2.22","600","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788898","1.3.2.25","260","","","","0"
"1986-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788899","1.3.2.26","121","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Total tourism commodities","Dollars","81","millions","6","v81612","1.1.1.1","12814","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Transportation","Dollars","81","millions","6","v81613","1.1.1.2","6085","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Passenger air transport","Dollars","81","millions","6","v81614","1.1.1.3","1188","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Passenger rail transport","Dollars","81","millions","6","v81615","1.1.1.4","38","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Interurban bus transport","Dollars","81","millions","6","v81616","1.1.1.5","230","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Vehicle rental","Dollars","81","millions","6","v81617","1.1.1.6","354","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Vehicle repairs and parts","Dollars","81","millions","6","v81618","1.1.1.7","1834","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Vehicle fuel","Dollars","81","millions","6","v81619","1.1.1.8","2202","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Other transportation","Dollars","81","millions","6","v81620","1.1.1.9","239","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Accommodation","Dollars","81","millions","6","v81621","1.1.1.10","791","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Food and beverage services","Dollars","81","millions","6","v81625","1.1.1.14","4341","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Other tourism commodities","Dollars","81","millions","6","v81631","1.1.1.20","1597","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Recreation and entertainment","Dollars","81","millions","6","v81632","1.1.1.21","1085","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Travel agency services","Dollars","81","millions","6","v81633","1.1.1.22","216","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Pre-trip expenditures","Dollars","81","millions","6","v29788894","1.1.1.25","233","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Unadjusted","Convention fees","Dollars","81","millions","6","v29788895","1.1.1.26","63","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v81589","1.1.2.1","13269","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v81590","1.1.2.2","6306","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v81591","1.1.2.3","1334","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v81592","1.1.2.4","53","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v81593","1.1.2.5","107","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v81594","1.1.2.6","332","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v81595","1.1.2.7","1839","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v81596","1.1.2.8","2411","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v81597","1.1.2.9","230","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v81598","1.1.2.10","946","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v81602","1.1.2.14","4563","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v81608","1.1.2.20","1454","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v81609","1.1.2.21","1002","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v81610","1.1.2.22","266","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788896","1.1.2.25","167","","","","0"
"1986-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788897","1.1.2.26","19","","","","0"
