"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Commodities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v19458048","1.3.2.4","127","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v19458049","1.3.2.5","639","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v19458050","1.3.2.6","486","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v19458051","1.3.2.7","3004","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v19458052","1.3.2.8","5797","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v19458053","1.3.2.9","613","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v19458054","1.3.2.10","1762","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v19458055","1.3.2.14","9368","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v19458056","1.3.2.20","3204","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v19458057","1.3.2.21","2226","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v19458058","1.3.2.22","618","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788898","1.3.2.25","228","","","","0"
"1986-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788899","1.3.2.26","132","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Total tourism commodities","Dollars","81","millions","6","v81612","1.1.1.1","12995","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Transportation","Dollars","81","millions","6","v81613","1.1.1.2","6024","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Passenger air transport","Dollars","81","millions","6","v81614","1.1.1.3","1325","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Passenger rail transport","Dollars","81","millions","6","v81615","1.1.1.4","43","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Interurban bus transport","Dollars","81","millions","6","v81616","1.1.1.5","210","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Vehicle rental","Dollars","81","millions","6","v81617","1.1.1.6","300","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Vehicle repairs and parts","Dollars","81","millions","6","v81618","1.1.1.7","1757","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Vehicle fuel","Dollars","81","millions","6","v81619","1.1.1.8","2150","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Other transportation","Dollars","81","millions","6","v81620","1.1.1.9","239","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Accommodation","Dollars","81","millions","6","v81621","1.1.1.10","919","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Food and beverage services","Dollars","81","millions","6","v81625","1.1.1.14","4490","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Other tourism commodities","Dollars","81","millions","6","v81631","1.1.1.20","1562","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Recreation and entertainment","Dollars","81","millions","6","v81632","1.1.1.21","1029","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Travel agency services","Dollars","81","millions","6","v81633","1.1.1.22","253","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Pre-trip expenditures","Dollars","81","millions","6","v29788894","1.1.1.25","221","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Unadjusted","Convention fees","Dollars","81","millions","6","v29788895","1.1.1.26","59","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v81589","1.1.2.1","12765","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v81590","1.1.2.2","5999","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v81591","1.1.2.3","1287","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v81592","1.1.2.4","54","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v81593","1.1.2.5","108","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v81594","1.1.2.6","298","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v81595","1.1.2.7","1663","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v81596","1.1.2.8","2362","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v81597","1.1.2.9","228","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v81598","1.1.2.10","925","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v81602","1.1.2.14","4416","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v81608","1.1.2.20","1426","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v81609","1.1.2.21","962","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v81610","1.1.2.22","275","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Pre-trip expenditures","Dollars","81","millions","6","v29788896","1.1.2.25","170","","","","0"
"1986-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Convention fees","Dollars","81","millions","6","v29788897","1.1.2.26","19","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","27177","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","12760","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v19458047","1.3.2.3","1673","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v19458048","1.3.2.4","124","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v19458049","1.3.2.5","639","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v19458050","1.3.2.6","504","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v19458051","1.3.2.7","3001","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Vehicle fuel","Dollars","81","millions","6","v19458052","1.3.2.8","6202","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other transportation","Dollars","81","millions","6","v19458053","1.3.2.9","617","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Accommodation","Dollars","81","millions","6","v19458054","1.3.2.10","1731","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Food and beverage services","Dollars","81","millions","6","v19458055","1.3.2.14","9405","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Other tourism commodities","Dollars","81","millions","6","v19458056","1.3.2.20","3281","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Recreation and entertainment","Dollars","81","millions","6","v19458057","1.3.2.21","2321","","","","0"
"1986-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Travel agency services","Dollars","81","millions","6","v19458058","1.3.2.22","580","","","","0"
